石景山|八角|八角南里 有客厅 视野开阔 采光充足|八角南里| | 2室1厅 | 73.95平米 | 西北 | 简装|高楼层(共24层)  2001年建塔楼  -  |八角|275万|单价37188元/平米
石景山|八角|八角南路 满五年中间楼层小两居  |八角南路| | 2室1厅 | 50平米 | 南 北 | 简装|中楼层(共6层)  1960年建板楼  -  |八角|152万|单价30400元/平米
石景山|八角|八角北里 2室0厅 240万|八角北里| | 2室0厅 | 58.41平米 | 南 | 毛坯|中楼层(共6层)  1986年建板楼  -  |八角|240万|单价41089元/平米
石景山|八角|八角北里 精装修 南北全明格局 满5年唯一|八角北里| | 2室1厅 | 57.46平米 | 南 北 | 精装|高楼层(共6层)  1985年建板楼  -  |八角|210万|单价36548元/平米
石景山|八角|西引力南北通透精装两居室 不需资质 随意买|西引力| | 2室1厅 | 102平米 | 南 北 | 精装|低楼层(共18层)  2005年建板塔结合  -  |八角|340万|单价33334元/平米
石景山|八角|八角北路孔雀门 经典格局两间半 三层南北通透 免税|八角北路| | 2室0厅 | 59平米 | 南 北 | 简装|中楼层(共6层)  1983年建板楼  -  |八角|195万|单价33051元/平米
石景山|八角|八角中里 2室1厅 235万|八角中里| | 2室1厅 | 58.9平米 | 南 北 | 简装|低楼层(共6层)  1986年建板楼  -  |八角|235万|单价39899元/平米
石景山|八角|八角南里 电梯三室一大厅 满五年唯一中间层|八角南里| | 3室1厅 | 110.9平米 | 东 北 | 毛坯|中楼层(共20层)  1999年建塔楼  -  |八角|390万|单价35167元/平米
石景山|八角|八角北路 南北通透 低总价 小户型！|八角北路| | 2室1厅 | 54.03平米 | 南 北 | 简装|高楼层(共6层)  1985年建板楼  -  |八角|173万|单价32020元/平米
石景山|八角|八角北路正规三居室南北通透少有的户型在卖|八角北路| | 3室1厅 | 68平米 | 南 北 | 简装|高楼层(共6层)  1984年建板楼  -  |八角|230万|单价33824元/平米
石景山|八角|八角北路 1室1厅 175万|八角北路| | 1室1厅 | 46.12平米 | 南 | 精装|高楼层(共6层)  1989年建板楼  -  |八角|175万|单价37945元/平米
石景山|八角|八角南路社区总价低，出行方便。|八角南路| | 2室0厅 | 46平米 | 东 南 北 | 精装|高楼层(共6层)  1982年建板楼  -  |八角|160万|单价34783元/平米
石景山|八角|南北通透  看房方便 交通便利 适合投资|八角北里| | 3室1厅 | 69.13平米 | 南 北 | 简装|高楼层(共6层)  1988年建板楼  -  |八角|235万|单价33994元/平米
石景山|八角|西引力，南向两居落地窗，黄金楼层|西引力| | 2室1厅 | 89平米 | 西南 | 简装|中楼层(共18层)  2005年建板塔结合  -  |八角|378万|单价42472元/平米
石景山|八角|八角南里 1993年 东西通透 明厨明卫 两居室|八角南里| | 2室1厅 | 51.95平米 | 东 西 | 简装|高楼层(共5层)  1993年建板楼  -  |八角|220万|单价42349元/平米
石景山|八角|融景城 户型方正 近地铁 楼龄新|融景城| | 2室1厅 | 89平米 | 南 | 精装|低楼层(共25层)  2011年建板塔结合  -  |八角|460万|单价51686元/平米
石景山|八角|八角北路南北两居室 中楼层 位置好|八角北路| | 2室1厅 | 54平米 | 北 南 | 简装|低楼层(共6层)  1986年建板楼  -  |八角|185万|单价34260元/平米
石景山|八角|融景城  上下三层 赠送小院 紧邻小区花园|融景城| | 5室1厅 | 225平米 | 南 | 其他|低楼层(共26层)  2011年建板塔结合  -  |八角|1125万|单价50000元/平米
石景山|八角|融景城南向精装修两居 满两年免增值税|融景城| | 2室2厅 | 89平米 | 南 | 精装|高楼层(共16层)  2010年建板塔结合  -  |八角|450万|单价50562元/平米
石景山|八角|95年房贷款30年 就一室一厅 紧邻地铁 |八角南里| | 1室1厅 | 55.5平米 | 东 西 | 简装|高楼层(共5层)  1995年建板楼  -  |八角|195万|单价35136元/平米
石景山|八角|八角中里 黄金2层 满五年 南北向！|八角中里| | 2室1厅 | 57.63平米 | 南 北 | 精装|低楼层(共6层)  1987年建板楼  -  |八角|226万|单价39216元/平米
石景山|八角|融景城，E户型南北双卫三居，精装修|融景城| | 3室2厅 | 136.82平米 | 南 北 | 精装|高楼层(共29层)  2010年建板塔结合  -  |八角|665万|单价48605元/平米
石景山|八角|八角中里电视台家属楼，南北通透，满五年|八角中里| | 2室1厅 | 58.94平米 | 南 北 | 简装|高楼层(共6层)  1986年建板楼  -  |八角|225万|单价38175元/平米
石景山|八角|八角北里 2室1厅 188万|八角北里| | 2室1厅 | 58.8平米 | 东 | 简装|高楼层(共6层)  1986年建板楼  -  |八角|188万|单价31973元/平米
石景山|八角|八角北路中间层小两居满五年没有营业税|八角北路| | 2室1厅 | 54平米 | 西南 | 精装|中楼层(共6层)  1984年建塔楼  -  |八角|196万|单价36297元/平米
石景山|八角|八角中里  南北通透两居室  户型方正|八角中里| | 2室1厅 | 58.6平米 | 南 北 | 其他|中楼层(共6层)  1986年建板楼  -  |八角|210万|单价35837元/平米
石景山|八角|八角南路 正规三居室 带电梯户型方正 视野好|八角南路| | 3室0厅 | 86.6平米 | 南 西 | 简装|高楼层(共16层)  1986年建塔楼  -  |八角|290万|单价33488元/平米
石景山|八角|八角北里 70年住宅 面价大 适合做公司|八角北里| | 2室1厅 | 165.88平米 | 南 北 | 简装|低楼层(共6层)  1986年建板楼  -  |八角|465万|单价28033元/平米
石景山|八角|西引力 商品房小区 东西向两居室 低楼层 |西引力| | 2室2厅 | 91平米 | 东 西 | 简装|低楼层(共14层)  2005年建板塔结合  -  |八角|360万|单价39561元/平米
石景山|八角|八角北里 实验学区房 正规两居 看房方便|八角北里| | 2室1厅 | 57.7平米 | 南 北 | 其他|高楼层(共6层)  1987年建板楼  -  |八角|230万|单价39862元/平米
石景山|八角|西引力朝东一居 位置安静 总价低 交通便利|西引力| | 1室0厅 | 45.12平米 | 东 | 精装|低楼层(共18层)  2005年建板塔结合  -  |八角|200万|单价44327元/平米
