丰台|北大地|明厨明卫的两居室，东西通透的房子|西安街甲2号| | 2室1厅 | 54.7平米 | 东 西 | 简装|低楼层(共6层)  1989年建板楼  -  |北大地|210万|单价38392元/平米
丰台|北大地|一小学区房 楼龄新 两居楼层好格局好|福顺里| | 2室1厅 | 81.73平米 | 东 西 | 简装|高楼层(共18层)  2002年建板塔结合  -  |北大地|343万|单价41968元/平米
丰台|北大地|正阳小区 2室1厅 275万|正阳小区| | 2室1厅 | 64.68平米 | 南 | 精装|低楼层(共6层)  1998年建板楼  -  |北大地|275万|单价42518元/平米
丰台|北大地|正阳小区 南北通透两居 低楼层 业主诚心出售|正阳小区| | 2室1厅 | 78平米 | 南 北 | 精装|低楼层(共14层)  2000年建板塔结合  -  |北大地|300万|单价38462元/平米
丰台|北大地|板楼南北通透大两居 商品房满五唯一 紧邻地铁|前泥洼小区| | 2室1厅 | 89.65平米 | 南 北 | 简装|高楼层(共6层)  1992年建板楼  -  |北大地|350万|单价39041元/平米
丰台|北大地|西南三环  带电梯 低总价一居室 地铁房|前泥洼小区| | 1室1厅 | 48.24平米 | 西 | 简装|中楼层(共12层)  1995年建板塔结合  -  |北大地|210万|单价43533元/平米
丰台|北大地|北大地四里   精装修一居室   拎包入住  三小学区房|北大地四里| | 1室1厅 | 48.2平米 | 南 | 其他|高楼层(共6层)  1991年建板楼  -  |北大地|195万|单价40457元/平米
丰台|北大地|北大地三里 2室1厅 210万|北大地三里| | 2室1厅 | 49.7平米 | 东 北 | 其他|低楼层(共6层)  1982年建板楼  -  |北大地|210万|单价42254元/平米
丰台|北大地|文体路38号院，产权证满五年紧邻地铁交通便利明厨明卫|文体路38号院| | 2室1厅 | 118平米 | 西 北 | 精装|中楼层(共20层)  2000年建塔楼  -  |北大地|420万|单价35594元/平米
丰台|北大地|丰台五小学区房，南北向，总价低，层高三米三，无抵押|北大地二里| | 2室1厅 | 70平米 | 南 北 | 简装|高楼层(共4层)  1988年建板楼  -  |北大地|262万|单价37429元/平米
