西城|白纸坊|西二环内 建功北里 满五唯一 大一居室|建功北里| | 1室1厅 | 61.7平米 | 西 | 简装|高楼层(共6层)  1996年建板楼  -  |白纸坊|385万|单价62399元/平米
西城|白纸坊|04年商品房，电梯直达，西向好的一居|恬心家园| | 1室0厅 | 51.25平米 | 西 | 精装|中楼层(共18层)  2003年建板塔结合  -  |白纸坊|345万|单价67318元/平米
西城|白纸坊|541央产 南北通透两居 明厨明卫 小区环境好 交通便利|新安北里| | 2室1厅 | 60.98平米 | 南 北 | 简装|高楼层(共6层)  1984年建板楼  -  |白纸坊|440万|单价72155元/平米
西城|白纸坊|西城区二环内 白纸坊正规一居室 带电梯 市政集中供暖  |恬心家园| | 1室1厅 | 64.35平米 | 东 | 简装|低楼层(共19层)  2000年建板塔结合  -  |白纸坊|435万|单价67600元/平米
西城|白纸坊|西城区 二环里 建功北里东西向两居 楼层适中|建功北里| | 2室1厅 | 61.87平米 | 东 西 | 简装|中楼层(共6层)  1996年建板楼  -  |白纸坊|400万|单价64652元/平米
西城|白纸坊|西城白纸坊天缘公寓 满五年唯一 正规大两居|天缘公寓| | 2室2厅 | 163平米 | 东 | 简装|中楼层(共28层)  1999年建塔楼  -  |白纸坊|720万|单价44172元/平米
西城|白纸坊|西二环，白纸坊桥东北角，建功北里正规一居室！|建功北里| | 1室1厅 | 48平米 | 东 | 简装|高楼层(共14层)  1996年建板楼  -  |白纸坊|330万|单价68750元/平米
西城|白纸坊|新安北里 南北通透 楼层低 541央产房|新安北里| | 2室1厅 | 55平米 | 南 北 | 精装|低楼层(共6层)  1984年建板楼  -  |白纸坊|405万|单价73637元/平米
西城|白纸坊|建功南里满五唯一，东南朝向，全明格局，业主诚意出售|建功南里| | 2室1厅 | 75.69平米 | 东南 | 精装|高楼层(共18层)  1996年建塔楼  -  |白纸坊|550万|单价72665元/平米
西城|白纸坊|白纸坊 恬心家园 朝东开间 诚心出售 独家房源|恬心家园| | 1室0厅 | 51.25平米 | 东 | 简装|高楼层(共18层)  2003年建板塔结合  -  |白纸坊|300万|单价58537元/平米
西城|白纸坊|荣宁园 高档小区 人车分流  双公园  地下车库 40%绿化|荣宁园| | 3室2厅 | 144.25平米 | 东南 | 简装|低楼层(共14层)  2002年建塔楼  -  |白纸坊|930万|单价64472元/平米
西城|白纸坊|西城区二环内 正规朝南一居 带电梯  采光充足|建功南里| | 1室1厅 | 56.98平米 | 南 | 简装|低楼层(共16层)  1996年建塔楼  -  |白纸坊|368万|单价64585元/平米
西城|白纸坊|二环内 建功北里 朝南正规一居室 精装修|建功北里| | 1室1厅 | 48.67平米 | 南 | 精装|高楼层(共6层)  1996年建板楼  -  |白纸坊|330万|单价67804元/平米
西城|白纸坊|二环内 建功北里朝南正规一居室 高层板楼|建功北里| | 1室1厅 | 63.83平米 | 南 | 简装|高楼层(共14层)  1996年建板楼  -  |白纸坊|400万|单价62667元/平米
西城|白纸坊|荣宁园 人车分流 花园式小区 西二环内|荣宁园| | 3室2厅 | 144.25平米 | 东 南 | 其他|中楼层(共14层)  2002年建塔楼  -  |白纸坊|960万|单价66552元/平米
西城|白纸坊|房子是南北通透两居室，小区里的主力户型，2004年|樱桃二条8号院| | 2室1厅 | 88.34平米 | 南 北 | 简装|低楼层(共14层)  2004年建板塔结合  -  |白纸坊|630万|单价71316元/平米
西城|白纸坊|带自建 南北通透小两居 541央产房 停车免费|新安北里| | 2室1厅 | 50.83平米 | 南 北 | 简装|低楼层(共6层)  1984年建板楼  -  |白纸坊|428万|单价84203元/平米
西城|白纸坊|西城区白纸坊建功北里 南北通透精装修两居|建功北里| | 2室1厅 | 63.14平米 | 南 北 | 精装|高楼层(共6层)  1996年建板楼  -  |白纸坊|450万|单价71271元/平米
西城|白纸坊|541印钞厂央产房 南北通透 封闭式管理|北樱桃园17号院| | 2室1厅 | 73.58平米 | 南 北 | 毛坯|低楼层(共14层)  2005年建板楼  -  |白纸坊|550万|单价74749元/平米
西城|白纸坊|中华家园  南北通透  高端社区 纯板楼|中华家园| | 3室2厅 | 251平米 | 南 北 | 其他|低楼层(共12层)  2002年建板塔结合  -  |白纸坊|950万|单价37849元/平米
西城|白纸坊|天缘公寓 东南大三居 格局方正 西城区|天缘公寓| | 3室2厅 | 182平米 | 东南 | 简装|低楼层(共28层)  1999年建塔楼  -  |白纸坊|900万|单价49451元/平米
西城|白纸坊|西二环内，西南大两居附带露台，低楼层适合老人居住|建功南里| | 2室1厅 | 66.29平米 | 西南 | 简装|低楼层(共16层)  1996年建塔楼  -  |白纸坊|470万|单价70901元/平米
西城|白纸坊|北方工业央产 正规大三居 明厨明卫 格局方正|建功北里| | 3室2厅 | 125.37平米 | 东 西 北 | 简装|低楼层(共16层)  1999年建塔楼  -  |白纸坊|750万|单价59823元/平米
西城|白纸坊|西城区，南菜园街 建功南里全明格局两居诚心出售！|建功南里| | 2室1厅 | 76.1平米 | 东北 | 简装|中楼层(共16层)  1996年建塔楼  -  |白纸坊|470万|单价61761元/平米
西城|白纸坊|全明大三居 采光通风效果好 电梯直达 |广安门南街| | 3室2厅 | 143.97平米 | 东 北 | 简装|中楼层(共18层)  1999年建塔楼  -  |白纸坊|890万|单价61819元/平米
西城|白纸坊|天缘公寓 2室2厅 700万|天缘公寓| | 2室2厅 | 123.42平米 | 南 | 其他|高楼层(共28层)  1999年建塔楼  -  |白纸坊|700万|单价56717元/平米
西城|白纸坊|西城区 白纸坊建功北里 东西通透双阳台大三居|建功北里| | 3室1厅 | 85平米 | 东 西 | 简装|高楼层(共6层)  1996年建板楼  -  |白纸坊|500万|单价58824元/平米
西城|白纸坊|05年新房 电梯直达 全明格局 交通便利|樱桃二条8号院| | 1室1厅 | 74.3平米 | 东北 | 简装|中楼层(共14层)  2005年建板楼  -  |白纸坊|620万|单价83446元/平米
西城|白纸坊|中国移动央产房 采光无遮挡 电梯直达 小区安静|广安门南街| | 3室1厅 | 125.34平米 | 西南 | 其他|中楼层(共18层)  1999年建塔楼  -  |白纸坊|850万|单价67816元/平米
西城|白纸坊|中华家园 南北通透 大观园旁 封闭管理  产权车位	|中华家园| | 3室2厅 | 245平米 | 南 北 | 精装|中楼层(共12层)  2002年建板塔结合  -  |白纸坊|1600万|单价65307元/平米
西城|白纸坊|二环内，南菜园街南北通透正规两居！|南菜园街1号院| | 2室1厅 | 57平米 | 南 北 | 简装|高楼层(共6层)  1990年建板楼  -  |白纸坊|400万|单价70176元/平米
西城|白纸坊|西城白纸坊广安门南街 云河公寓 央产 东南向大三居|广安门南街| | 3室1厅 | 125.34平米 | 东南 | 简装|高楼层(共18层)  1999年建塔楼  -  |白纸坊|880万|单价70210元/平米
西城|白纸坊|西城区 二环里 恬心家园集中供暖东北向两居室|恬心家园| | 2室2厅 | 87.57平米 | 东 北 | 精装|低楼层(共20层)  2003年建塔楼  -  |白纸坊|560万|单价63949元/平米
西城|白纸坊|中加大厦 3室1厅 700万|中加大厦| | 3室1厅 | 135.7平米 | 西南 | 简装|低楼层(共24层)  1999年建塔楼  -  |白纸坊|700万|单价51585元/平米
西城|白纸坊|西二环内 南运巷小区  明厨明卫 小两居|南运巷| | 2室1厅 | 64.98平米 | 西北 | 简装|中楼层(共18层)  1990年建塔楼  -  |白纸坊|420万|单价64636元/平米
西城|白纸坊|地图出版社  精装2居 随时可看|新安北里| | 2室1厅 | 54.94平米 | 东 西 | 其他|高楼层(共6层)  1983年建板楼  -  |白纸坊|390万|单价70987元/平米
西城|白纸坊|华北电力央产 南北通透 板楼带电梯|白广路东里1号院| | 2室2厅 | 95平米 | 南 北 | 简装|中楼层(共7层)  2000年建板楼  -  |白纸坊|789万|单价83053元/平米
西城|白纸坊|西城区二环内 白纸坊正规朝东三居室 带电梯 |天缘公寓| | 3室1厅 | 187平米 | 东 | 其他|中楼层(共28层)  1999年建塔楼  -  |白纸坊|750万|单价40107元/平米
西城|白纸坊|西城，白纸坊二环里，建功北里南北通透一居室！|建功北里| | 1室1厅 | 47.25平米 | 南 北 | 简装|高楼层(共6层)  1999年建板楼  -  |白纸坊|325万|单价68784元/平米
西城|白纸坊|南菜园乙1号 2室1厅 310万|南菜园乙1号| | 2室1厅 | 47.6平米 | 东 西 | 其他|高楼层(共4层)    -  |白纸坊|310万|单价65127元/平米
西城|白纸坊|西城 二环内 南运巷 正规一居室 朝南|南运巷| | 1室1厅 | 53.61平米 | 南 | 简装|中楼层(共18层)  1990年建塔楼  -  |白纸坊|360万|单价67152元/平米
西城|白纸坊|西城白纸坊广安门南街东南向 正规三居|广安门南街| | 3室1厅 | 125.34平米 | 东南 | 简装|中楼层(共18层)  1999年建塔楼  -  |白纸坊|860万|单价68614元/平米
